Name,Type,Category,Power,Accuracy,PP,Effect,Prob of effect
Max Wyrmwind,Dragon,,-,-,-,"<td class=""cell-long-text"">Dragon type Dynamax move. Lowers the target's Attack.</td>",100
Me First,Normal,status,-,-,—,"<td class=""cell-long-text"">User copies the opponent's attack with 1.5× power.</td>",-
Mean Look,Normal,status,-,-,—,"<td class=""cell-long-text"">Opponent cannot flee or switch.</td>",-
Meditate,Psychic,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack.</td>",-
Mega Drain,Grass,special,40,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Mega Kick,Normal,physical,120,75,—,"<td class=""cell-long-text""></td>",-
Mega Punch,Normal,physical,80,85,—,"<td class=""cell-long-text""></td>",-
Megahorn,Bug,physical,120,85,—,"<td class=""cell-long-text""></td>",-
Memento,Dark,status,-,100,—,"<td class=""cell-long-text"">User faints, sharply lowers opponent's Attack and Special Attack.</td>",-
Menacing Moonraze Maelstrom,Ghost,special,200,-,—,"<td class=""cell-long-text"">Lunala-exclusive Z-Move.</td>",-
Metal Burst,Steel,physical,-,100,—,"<td class=""cell-long-text"">Deals damage equal to 1.5x opponent's attack.</td>",-
Metal Claw,Steel,physical,50,95,10,"<td class=""cell-long-text"">May raise user's Attack.</td>",10
Metal Sound,Steel,status,-,85,—,"<td class=""cell-long-text"">Sharply lowers opponent's Special Defense.</td>",-
Meteor Assault,Fighting,physical,150,100,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Meteor Beam,Rock,special,120,90,—,"<td class=""cell-long-text"">User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.</td>",-
Meteor Mash,Steel,physical,90,90,20,"<td class=""cell-long-text"">May raise user's Attack.</td>",20
Metronome,Normal,status,-,-,—,"<td class=""cell-long-text"">User performs almost any move in the game at random.</td>",-
Mighty Cleave,Rock,physical,95,100,—,"<td class=""cell-long-text""></td>",-
Milk Drink,Normal,status,-,-,—,"<td class=""cell-long-text"">User recovers half its max HP.</td>",-
Mimic,Normal,status,-,-,—,"<td class=""cell-long-text"">Copies the opponent's last move.</td>",-
Mind Blown,Fire,special,150,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Mind Reader,Normal,status,-,-,—,"<td class=""cell-long-text"">User's next attack is guaranteed to hit.</td>",-
Minimize,Normal,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Evasiveness.</td>",-
Miracle Eye,Psychic,status,-,-,—,"<td class=""cell-long-text"">Resets opponent's Evasiveness, removes Dark's Psychic immunity.</td>",-
Mirror Coat,Psychic,special,-,100,—,"<td class=""cell-long-text"">When hit by a Special Attack, user strikes back with 2x power.</td>",-
Mirror Move,Flying,status,-,-,—,"<td class=""cell-long-text"">User performs the opponent's last move.</td>",-
Mirror Shot,Steel,special,65,85,30,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",30
Mist,Ice,status,-,-,—,"<td class=""cell-long-text"">User's stats cannot be changed for a period of time.</td>",-
Mist Ball,Psychic,special,95,100,50,"<td class=""cell-long-text"">May lower opponent's Special Attack.</td>",50
Misty Explosion,Fairy,special,100,100,—,"<td class=""cell-long-text"">Power increases on Misty Terrain.</td>",-
Misty Terrain,Fairy,status,-,-,—,"<td class=""cell-long-text"">Protects the field from status conditions for 5 turns.</td>",-
Moonblast,Fairy,special,95,100,30,"<td class=""cell-long-text"">May lower opponent's Special Attack.</td>",30
Moongeist Beam,Ghost,special,100,100,—,"<td class=""cell-long-text"">Ignores the target's ability.</td>",-
Moonlight,Fairy,status,-,-,—,"<td class=""cell-long-text"">User recovers HP. Amount varies with the weather.</td>",-
Morning Sun,Normal,status,-,-,—,"<td class=""cell-long-text"">User recovers HP. Amount varies with the weather.</td>",-
Mortal Spin,Poison,physical,30,100,—,"<td class=""cell-long-text"">Removes entry hazards and trap move effects, and poisons opposing Pokémon.</td>",-
Mountain Gale,Ice,physical,100,85,—,"<td class=""cell-long-text"">Lowers user's Speed.</td>",-
Mud Bomb,Ground,special,65,85,30,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",30
Mud Shot,Ground,special,55,95,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Mud Sport,Ground,status,-,-,—,"<td class=""cell-long-text"">Weakens the power of Electric-type moves.</td>",-
Mud-Slap,Ground,special,20,100,100,"<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>",100
Muddy Water,Water,special,90,85,30,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",30
Multi-Attack,Normal,physical,120,100,—,"<td class=""cell-long-text"">Type matches Memory item held.</td>",-
Mystical Fire,Fire,special,75,100,100,"<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>",100
Mystical Power,Psychic,special,70,90,—,"<td class=""cell-long-text"">Raises user's Special Attack.</td>",-
Nasty Plot,Dark,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Special Attack.</td>",-
Natural Gift,Normal,physical,-,100,—,"<td class=""cell-long-text"">Power and type depend on the user's held berry.</td>",-
Nature Power,Normal,status,-,-,—,"<td class=""cell-long-text"">Uses a certain move based on the current terrain.</td>",-
Nature's Madness,Fairy,special,-,90,—,"<td class=""cell-long-text"">Halves the foe's HP.</td>",-
Needle Arm,Grass,physical,60,100,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Never-Ending Nightmare,Ghost,,-,-,—,"<td class=""cell-long-text"">Ghost type Z-Move.</td>",-
Night Daze,Dark,special,85,95,40,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",40
Night Shade,Ghost,special,-,100,—,"<td class=""cell-long-text"">Inflicts damage equal to user's level.</td>",-
Night Slash,Dark,physical,70,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Nightmare,Ghost,status,-,100,—,"<td class=""cell-long-text"">The sleeping opponent loses 25% of its max HP each turn.</td>",-
No Retreat,Fighting,status,-,-,100,"<td class=""cell-long-text"">Raises all stats but user cannot switch out.</td>",100
Noble Roar,Normal,status,-,100,100,"<td class=""cell-long-text"">Lowers opponent's Attack and Special Attack.</td>",100
Noxious Torque,Poison,physical,100,100,—,"<td class=""cell-long-text"">May poison the opponent.</td>",-
Nuzzle,Electric,physical,20,100,100,"<td class=""cell-long-text"">Paralyzes opponent.</td>",100
Oblivion Wing,Flying,special,80,100,—,"<td class=""cell-long-text"">User recovers most of the HP inflicted on opponent.</td>",-
Obstruct,Dark,status,-,100,—,"<td class=""cell-long-text"">Protects the user and sharply lowers Defence on contact.</td>",-
Oceanic Operetta,Water,special,195,-,—,"<td class=""cell-long-text"">Primarina-exclusive Z-Move.</td>",-
Octazooka,Water,special,65,85,50,"<td class=""cell-long-text"">May lower opponent's Accuracy.</td>",50
Octolock,Fighting,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.</td>",-
Odor Sleuth,Normal,status,-,-,—,"<td class=""cell-long-text"">Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.</td>",-
Ominous Wind,Ghost,special,60,100,10,"<td class=""cell-long-text"">May raise all user's stats at once.</td>",10
Order Up,Dragon,physical,80,100,—,"<td class=""cell-long-text"">Boosts Attack/Defense/Speed depending on ally Tatsugiri.</td>",-
Origin Pulse,Water,special,110,85,—,"<td class=""cell-long-text"">Hits all adjacent opponents.</td>",-
Outrage,Dragon,physical,120,100,—,"<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>",-
Overdrive,Electric,special,80,100,—,"<td class=""cell-long-text"">Hits all adjacent opponents.</td>",-
Overheat,Fire,special,130,90,100,"<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>",100
Pain Split,Normal,status,-,-,—,"<td class=""cell-long-text"">The user's and opponent's HP becomes the average of both.</td>",-
Parabolic Charge,Electric,special,65,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Parting Shot,Dark,status,-,100,100,"<td class=""cell-long-text"">Lowers opponent's Attack and Special Attack then switches out. </td>",100
Pay Day,Normal,physical,40,100,—,"<td class=""cell-long-text"">Money is earned after the battle.</td>",-
Payback,Dark,physical,50,100,—,"<td class=""cell-long-text"">Power doubles if the user was attacked first.</td>",-
Peck,Flying,physical,35,100,—,"<td class=""cell-long-text""></td>",-
Perish Song,Normal,status,-,-,—,"<td class=""cell-long-text"">Any Pokémon in play when this attack is used faints in 3 turns.</td>",-
Petal Blizzard,Grass,physical,90,100,—,"<td class=""cell-long-text"">Hits all adjacent Pokémon.</td>",-
Petal Dance,Grass,special,120,100,—,"<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>",-
Phantom Force,Ghost,physical,90,100,—,"<td class=""cell-long-text"">Disappears on first turn, attacks on second. Can strike through Protect/Detect.</td>",-
Photon Geyser,Psychic,special,100,100,—,"<td class=""cell-long-text"">Uses Attack or Special Attack stat, whichever is higher.</td>",-
Pika Papow,Electric,special,-,∞,—,"<td class=""cell-long-text"">Power increases when player's bond is stronger.</td>",-
Pin Missile,Bug,physical,25,95,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Plasma Fists,Electric,physical,100,100,—,"<td class=""cell-long-text"">Changes Normal-type moves to Electric-type moves.</td>",-
Play Nice,Normal,status,-,-,100,"<td class=""cell-long-text"">Lowers opponent's Attack. Always hits.</td>",100
Play Rough,Fairy,physical,90,90,10,"<td class=""cell-long-text"">May lower opponent's Attack.</td>",10
Pluck,Flying,physical,60,100,—,"<td class=""cell-long-text"">If the opponent is holding a berry, its effect is stolen by user.</td>",-
Poison Fang,Poison,physical,50,100,50,"<td class=""cell-long-text"">May badly poison opponent.</td>",50
Poison Gas,Poison,status,-,90,—,"<td class=""cell-long-text"">Poisons opponent.</td>",-
Poison Jab,Poison,physical,80,100,30,"<td class=""cell-long-text"">May poison the opponent.</td>",30
Poison Powder,Poison,status,-,75,—,"<td class=""cell-long-text"">Poisons opponent.</td>",-
Poison Sting,Poison,physical,15,100,30,"<td class=""cell-long-text"">May poison the opponent.</td>",30
Poison Tail,Poison,physical,50,100,10,"<td class=""cell-long-text"">High critical hit ratio. May poison opponent.</td>",10
Pollen Puff,Bug,special,90,100,—,"<td class=""cell-long-text"">Deals damage to opponent or restores HP of teammate.</td>",-
Poltergeist,Ghost,physical,110,90,—,"<td class=""cell-long-text"">Fails if the target doesn’t have an item.</td>",-
Population Bomb,Normal,physical,20,90,—,"<td class=""cell-long-text"">Hits 1-10 times in a row.</td>",-
Pounce,Bug,physical,50,100,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Pound,Normal,physical,40,100,—,"<td class=""cell-long-text""></td>",-
Powder,Bug,status,-,100,—,"<td class=""cell-long-text"">Damages Pokémon using Fire type moves.</td>",-
Powder Snow,Ice,special,40,100,10,"<td class=""cell-long-text"">May freeze opponent.</td>",10
Power Gem,Rock,special,80,100,—,"<td class=""cell-long-text""></td>",-
Power Shift,Normal,status,-,-,—,"<td class=""cell-long-text"">Switches Attack and Defense stats.</td>",-
Power Split,Psychic,status,-,-,—,"<td class=""cell-long-text"">Averages Attack and Special Attack with the target.</td>",-
Power Swap,Psychic,status,-,-,—,"<td class=""cell-long-text"">User and opponent swap Attack and Special Attack.</td>",-
Power Trick,Psychic,status,-,-,—,"<td class=""cell-long-text"">User's own Attack and Defense switch.</td>",-
Power Trip,Dark,physical,20,100,—,"<td class=""cell-long-text"">The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.</td>",-
Power Whip,Grass,physical,120,85,—,"<td class=""cell-long-text""></td>",-
Power-Up Punch,Fighting,physical,40,100,100,"<td class=""cell-long-text"">Raises Attack.</td>",100
Precipice Blades,Ground,physical,120,85,—,"<td class=""cell-long-text"">Hits all adjacent opponents.</td>",-
Present,Normal,physical,-,90,—,"<td class=""cell-long-text"">Either deals damage or heals.</td>",-
Prismatic Laser,Psychic,special,160,100,—,"<td class=""cell-long-text"">The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.</td>",-
Protect,Normal,status,-,-,—,"<td class=""cell-long-text"">Protects the user, but may fail if used consecutively.</td>",-
Psybeam,Psychic,special,65,100,10,"<td class=""cell-long-text"">May confuse opponent.</td>",10
Psyblade,Psychic,physical,80,100,—,"<td class=""cell-long-text"">Power increases on Electric Terrain.</td>",-
Psych Up,Normal,status,-,-,—,"<td class=""cell-long-text"">Copies the opponent's stat changes.</td>",-
Psychic,Psychic,special,90,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Psychic Fangs,Psychic,physical,85,100,—,"<td class=""cell-long-text"">The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.</td>",-
Psychic Noise,Psychic,special,75,100,—,"<td class=""cell-long-text"">Deals damage and prevents target from healing.</td>",-
Psychic Terrain,Psychic,status,-,-,—,"<td class=""cell-long-text"">Prevents priority moves from being used for 5 turns.</td>",-
Psycho Boost,Psychic,special,140,90,100,"<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>",100
Psycho Cut,Psychic,physical,70,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Psycho Shift,Psychic,status,-,100,—,"<td class=""cell-long-text"">Transfers user's status condition to the opponent.</td>",-
Psyshield Bash,Psychic,physical,70,90,—,"<td class=""cell-long-text"">Raises user's Defense and Special Defense.</td>",-
Psyshock,Psychic,special,80,100,—,"<td class=""cell-long-text"">Inflicts damage based on the target's Defense, not Special Defense.</td>",-
Psystrike,Psychic,special,100,100,—,"<td class=""cell-long-text"">Inflicts damage based on the target's Defense, not Special Defense.</td>",-
Psywave,Psychic,special,-,100,—,"<td class=""cell-long-text"">Inflicts damage 50-150% of user's level.</td>",-
Pulverizing Pancake,Normal,physical,210,-,—,"<td class=""cell-long-text"">Snorlax-exclusive Normal type Z-Move.</td>",-
Punishment,Dark,physical,-,100,—,"<td class=""cell-long-text"">Power increases when opponent's stats have been raised.</td>",-
Purify,Poison,status,-,-,—,"<td class=""cell-long-text"">The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.</td>",-
Pursuit,Dark,physical,40,100,—,"<td class=""cell-long-text"">Double power if the opponent is switching out.</td>",-
Pyro Ball,Fire,physical,120,90,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Quash,Dark,status,-,100,—,"<td class=""cell-long-text"">Makes the target act last this turn.</td>",-
Quick Attack,Normal,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Quick Guard,Fighting,status,-,-,—,"<td class=""cell-long-text"">Protects the user's team from high-priority moves.</td>",-
Quiver Dance,Bug,status,-,-,—,"<td class=""cell-long-text"">Raises user's Special Attack, Special Defense and Speed.</td>",-
Rage,Normal,physical,20,100,—,"<td class=""cell-long-text"">Raises user's Attack when hit.</td>",-
Rage Fist,Ghost,physical,50,100,—,"<td class=""cell-long-text"">The more times the user has been hit by attacks, the greater the move's power.</td>",-
Rage Powder,Bug,status,-,-,—,"<td class=""cell-long-text"">Forces attacks to hit user, not team-mates.</td>",-
Raging Bull,Normal,physical,90,100,—,"<td class=""cell-long-text"">Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.</td>",-
Raging Fury,Fire,physical,120,100,—,"<td class=""cell-long-text"">User attacks for 2-3 turns but then becomes confused.</td>",-
Rain Dance,Water,status,-,-,—,"<td class=""cell-long-text"">Makes it rain for 5 turns.</td>",-
Rapid Spin,Normal,physical,50,100,100,"<td class=""cell-long-text"">Raises user's Speed and removes entry hazards and trap move effects.</td>",100
Razor Leaf,Grass,physical,55,95,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Razor Shell,Water,physical,75,95,50,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",50
Razor Wind,Normal,special,80,100,—,"<td class=""cell-long-text"">Charges on first turn, attacks on second. High critical hit ratio.</td>",-
Recover,Normal,status,-,-,—,"<td class=""cell-long-text"">User recovers half its max HP.</td>",-
Recycle,Normal,status,-,-,—,"<td class=""cell-long-text"">User's used hold item is restored.</td>",-
Reflect,Psychic,status,-,-,—,"<td class=""cell-long-text"">Halves damage from Physical attacks for 5 turns.</td>",-
Reflect Type,Normal,status,-,-,—,"<td class=""cell-long-text"">User becomes the target's type.</td>",-
Refresh,Normal,status,-,-,—,"<td class=""cell-long-text"">Cures paralysis, poison, and burns.</td>",-
Relic Song,Normal,special,75,100,10,"<td class=""cell-long-text"">May put the target to sleep.</td>",10
Rest,Psychic,status,-,-,—,"<td class=""cell-long-text"">User sleeps for 2 turns, but user is fully healed.</td>",-
Retaliate,Normal,physical,70,100,—,"<td class=""cell-long-text"">Inflicts double damage if a teammate fainted on the last turn.</td>",-
Return,Normal,physical,-,100,—,"<td class=""cell-long-text"">Power increases with higher Friendship.</td>",-
Revelation Dance,Normal,special,90,100,—,"<td class=""cell-long-text"">Type changes based on Oricorio's form.</td>",-
Revenge,Fighting,physical,60,100,—,"<td class=""cell-long-text"">Power increases if user was hit first.</td>",-
Reversal,Fighting,physical,-,100,—,"<td class=""cell-long-text"">The lower the user's HP, the higher the power.</td>",-
Revival Blessing,Normal,status,-,-,—,"<td class=""cell-long-text"">Revives a fainted party Pokémon to half HP.</td>",-
Rising Voltage,Electric,special,70,100,—,"<td class=""cell-long-text"">Power doubles on Electric Terrain.</td>",-
Roar,Normal,status,-,-,—,"<td class=""cell-long-text"">In battles, the opponent switches. In the wild, the Pokémon runs.</td>",-
Roar of Time,Dragon,special,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Rock Blast,Rock,physical,25,90,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Rock Climb,Normal,physical,90,85,20,"<td class=""cell-long-text"">May confuse opponent.</td>",20
Rock Polish,Rock,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Speed.</td>",-
Rock Slide,Rock,physical,75,90,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Rock Smash,Fighting,physical,40,100,50,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",50
Rock Throw,Rock,physical,50,90,—,"<td class=""cell-long-text""></td>",-
Rock Tomb,Rock,physical,60,95,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Rock Wrecker,Rock,physical,150,90,—,"<td class=""cell-long-text"">User must recharge next turn.</td>",-
Role Play,Psychic,status,-,-,—,"<td class=""cell-long-text"">User copies the opponent's Ability.</td>",-
Rolling Kick,Fighting,physical,60,85,30,"<td class=""cell-long-text"">May cause flinching.</td>",30
Rollout,Rock,physical,30,90,—,"<td class=""cell-long-text"">Doubles in power each turn for 5 turns.</td>",-
Roost,Flying,status,-,-,—,"<td class=""cell-long-text"">User recovers half of its max HP and loses the Flying type temporarily.</td>",-
Rototiller,Ground,status,-,-,100,"<td class=""cell-long-text"">Raises Attack and Special Attack of Grass-types.</td>",100
Round,Normal,special,60,100,—,"<td class=""cell-long-text"">Power increases if teammates use it in the same turn.</td>",-
Ruination,Dark,special,-,90,—,"<td class=""cell-long-text"">Halves the opponent's HP.</td>",-
Sacred Fire,Fire,physical,100,95,50,"<td class=""cell-long-text"">May burn opponent.</td>",50
Sacred Sword,Fighting,physical,90,100,—,"<td class=""cell-long-text"">Ignores opponent's stat changes.</td>",-
Safeguard,Normal,status,-,-,—,"<td class=""cell-long-text"">The user's party is protected from status conditions.</td>",-
Salt Cure,Rock,physical,40,100,—,"<td class=""cell-long-text"">Deals damage each turn; Steel and Water types are more affected.</td>",-
Sand Attack,Ground,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>",-
Sand Tomb,Ground,physical,35,85,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Sandsear Storm,Ground,special,100,80,—,"<td class=""cell-long-text"">May burn target.</td>",-
Sandstorm,Rock,status,-,-,—,"<td class=""cell-long-text"">Creates a sandstorm for 5 turns.</td>",-
Sappy Seed,Grass,physical,90,100,100,"<td class=""cell-long-text"">Drains HP from opponent each turn.</td>",100
Savage Spin-Out,Bug,,-,-,—,"<td class=""cell-long-text"">Bug type Z-Move.</td>",-
Scald,Water,special,80,100,30,"<td class=""cell-long-text"">May burn opponent.</td>",30
Scale Shot,Dragon,physical,25,90,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.</td>",-
Scary Face,Normal,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>",-
Scorching Sands,Ground,special,70,100,—,"<td class=""cell-long-text"">May burn the target.</td>",-
Scratch,Normal,physical,40,100,—,"<td class=""cell-long-text""></td>",-
Screech,Normal,status,-,85,—,"<td class=""cell-long-text"">Sharply lowers opponent's Defense.</td>",-
Searing Shot,Fire,special,100,100,30,"<td class=""cell-long-text"">May burn opponent.</td>",30
Searing Sunraze Smash,Steel,physical,200,-,—,"<td class=""cell-long-text"">Solgaleo-exclusive Z-Move.</td>",-
Secret Power,Normal,physical,70,100,30,"<td class=""cell-long-text"">Effects of the attack vary with the location.</td>",30
Secret Sword,Fighting,special,85,100,—,"<td class=""cell-long-text"">Inflicts damage based on the target's Defense, not Special Defense.</td>",-
Seed Bomb,Grass,physical,80,100,—,"<td class=""cell-long-text""></td>",-
Seed Flare,Grass,special,120,85,40,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",40
Seismic Toss,Fighting,physical,-,100,—,"<td class=""cell-long-text"">Inflicts damage equal to user's level.</td>",-
Self-Destruct,Normal,physical,200,100,—,"<td class=""cell-long-text"">User faints.</td>",-
Shadow Ball,Ghost,special,80,100,20,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",20
Shadow Bone,Ghost,physical,85,100,20,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",20
Shadow Claw,Ghost,physical,70,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Shadow Force,Ghost,physical,120,100,—,"<td class=""cell-long-text"">Disappears on first turn, attacks on second. Can strike through Protect/Detect.</td>",-
Shadow Punch,Ghost,physical,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Shadow Sneak,Ghost,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Sharpen,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack.</td>",-
Shattered Psyche,Psychic,,-,-,—,"<td class=""cell-long-text"">Psychic type Z-Move.</td>",-
Shed Tail,Normal,status,-,-,—,"<td class=""cell-long-text"">Creates a substitute, then swaps places with a party Pokémon in waiting.</td>",-
Sheer Cold,Ice,special,-,30,—,"<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>",-
Shell Side Arm,Poison,special,90,100,—,"<td class=""cell-long-text"">May poison opponent. Inflicts either Special or Physical damage, whichever is better.</td>",-
Shell Smash,Normal,status,-,-,—,"<td class=""cell-long-text"">Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.</td>",-
Shell Trap,Fire,special,150,100,—,"<td class=""cell-long-text"">Deals more damage to opponent if hit by a Physical move.</td>",-
Shelter,Steel,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense.</td>",-
Shift Gear,Steel,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and sharply raises Speed.</td>",-
Shock Wave,Electric,special,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Shore Up,Ground,status,-,-,—,"<td class=""cell-long-text"">The user regains up to half of its max HP. It restores more HP in a sandstorm.</td>",-
Signal Beam,Bug,special,75,100,10,"<td class=""cell-long-text"">May confuse opponent.</td>",10
Silk Trap,Bug,status,-,-,—,"<td class=""cell-long-text"">Protects the user and lowers opponent's Speed on contact.</td>",-
Silver Wind,Bug,special,60,100,10,"<td class=""cell-long-text"">May raise all stats of user at once.</td>",10
Simple Beam,Normal,status,-,100,—,"<td class=""cell-long-text"">Changes target's ability to Simple.</td>",-
Sing,Normal,status,-,55,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Sinister Arrow Raid,Ghost,physical,180,-,—,"<td class=""cell-long-text"">Decidueye-exclusive Z-Move.</td>",-
Sizzly Slide,Fire,physical,90,100,100,"<td class=""cell-long-text"">Burns the opponent.</td>",100
Sketch,Normal,status,-,-,—,"<td class=""cell-long-text"">Permanently copies the opponent's last move.</td>",-
Skill Swap,Psychic,status,-,-,—,"<td class=""cell-long-text"">The user swaps Abilities with the opponent.</td>",-
Skitter Smack,Bug,physical,70,90,—,"<td class=""cell-long-text"">Lowers opponent's Sp. Attack.</td>",-
Skull Bash,Normal,physical,130,100,100,"<td class=""cell-long-text"">Raises Defense on first turn, attacks on second.</td>",100
Sky Attack,Flying,physical,140,90,30,"<td class=""cell-long-text"">Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.</td>",30
Sky Drop,Flying,physical,60,100,—,"<td class=""cell-long-text"">Takes opponent into the air on first turn, drops them on second turn.</td>",-
Sky Uppercut,Fighting,physical,85,90,—,"<td class=""cell-long-text"">Hits the opponent, even during Fly.</td>",-
Slack Off,Normal,status,-,-,—,"<td class=""cell-long-text"">User recovers half its max HP.</td>",-
Slam,Normal,physical,80,75,—,"<td class=""cell-long-text""></td>",-
Slash,Normal,physical,70,100,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Sleep Powder,Grass,status,-,75,—,"<td class=""cell-long-text"">Puts opponent to sleep.</td>",-
Sleep Talk,Normal,status,-,-,—,"<td class=""cell-long-text"">User performs one of its own moves while sleeping.</td>",-
Sludge,Poison,special,65,100,30,"<td class=""cell-long-text"">May poison opponent.</td>",30
Sludge Bomb,Poison,special,90,100,30,"<td class=""cell-long-text"">May poison opponent.</td>",30
Sludge Wave,Poison,special,95,100,10,"<td class=""cell-long-text"">May poison opponent.</td>",10
Smack Down,Rock,physical,50,100,100,"<td class=""cell-long-text"">Makes Flying-type Pokémon vulnerable to Ground moves.</td>",100
Smart Strike,Steel,physical,70,-,—,"<td class=""cell-long-text"">The user stabs the target with a sharp horn. This attack never misses.</td>",-
Smelling Salts,Normal,physical,70,100,—,"<td class=""cell-long-text"">Power doubles if opponent is paralyzed, but cures it.</td>",-
Smog,Poison,special,30,70,40,"<td class=""cell-long-text"">May poison opponent.</td>",40
Smokescreen,Normal,status,-,100,—,"<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>",-
Snap Trap,Grass,physical,35,100,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Snarl,Dark,special,55,95,100,"<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>",100
Snatch,Dark,status,-,-,—,"<td class=""cell-long-text"">Steals the effects of the opponent's next move.</td>",-
Snipe Shot,Water,special,80,100,—,"<td class=""cell-long-text"">Ignores moves and abilities that draw in moves. High critical hit ratio.</td>",-
Snore,Normal,special,50,100,30,"<td class=""cell-long-text"">Can only be used if asleep. May cause flinching.</td>",30
Snowscape,Ice,status,-,-,—,"<td class=""cell-long-text"">Raises Defense of Ice types for 5 turns.</td>",-
Soak,Water,status,-,100,—,"<td class=""cell-long-text"">Changes the target's type to water.</td>",-
Soft-Boiled,Normal,status,-,-,—,"<td class=""cell-long-text"">User recovers half its max HP.</td>",-
Solar Beam,Grass,special,120,100,—,"<td class=""cell-long-text"">Charges on first turn, attacks on second.</td>",-
Solar Blade,Grass,physical,125,100,—,"<td class=""cell-long-text"">Charges on first turn, attacks on second.</td>",-
Sonic Boom,Normal,special,-,90,—,"<td class=""cell-long-text"">Always inflicts 20 HP.</td>",-
Soul-Stealing 7-Star Strike,Ghost,physical,195,-,—,"<td class=""cell-long-text"">Marshadow-exclusive Z-Move.</td>",-
Spacial Rend,Dragon,special,100,95,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
